Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
D1,19/08/1994,Bayer Leverkusen,FC Kaiserslautern,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,19/08/1994,FC Schalke 04,Bor. Mönchengladbach,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,19/08/1994,VfB Stuttgart,Hamburger SV,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,20/08/1994,Bayern München,VFL Bochum,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,20/08/1994,Borussia Dortmund,1860 München,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,20/08/1994,Dynamo Dresden,Werder Bremen,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,20/08/1994,Eintracht Frankfurt,FC Köln,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,20/08/1994,Karlsruher SC,SC Freiburg,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,20/08/1994,KFC Uerdingen 05,MSV Duisburg,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,23/08/1994,VFL Bochum,Dynamo Dresden,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,23/08/1994,FC Köln,Borussia Dortmund,1,6,A,,,,,,,,,,,,,,,,,,,,,
D1,23/08/1994,SC Freiburg,Bayern München,5,1,H,,,,,,,,,,,,,,,,,,,,,
D1,23/08/1994,FC Kaiserslautern,Eintracht Frankfurt,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,23/08/1994,1860 München,VfB Stuttgart,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,24/08/1994,MSV Duisburg,FC Schalke 04,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,24/08/1994,Hamburger SV,KFC Uerdingen 05,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,24/08/1994,Bor. Mönchengladbach,Karlsruher SC,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,24/08/1994,Werder Bremen,Bayer Leverkusen,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,26/08/1994,Borussia Dortmund,FC Kaiserslautern,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,26/08/1994,Dynamo Dresden,SC Freiburg,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,27/08/1994,Bayern München,Bor. Mönchengladbach,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,27/08/1994,Karlsruher SC,MSV Duisburg,4,1,H,,,,,,,,,,,,,,,,,,,,,
D1,27/08/1994,FC Schalke 04,Hamburger SV,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,27/08/1994,VfB Stuttgart,FC Köln,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,27/08/1994,KFC Uerdingen 05,1860 München,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,27/08/1994,Werder Bremen,VFL Bochum,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,28/08/1994,Bayer Leverkusen,Eintracht Frankfurt,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,02/09/1994,MSV Duisburg,Bayern München,0,3,A,,,,,,,,,,,,,,,,,,,,,
D1,02/09/1994,SC Freiburg,Werder Bremen,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,02/09/1994,Bor. Mönchengladbach,Dynamo Dresden,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,03/09/1994,VFL Bochum,Bayer Leverkusen,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,03/09/1994,Eintracht Frankfurt,Borussia Dortmund,4,1,H,,,,,,,,,,,,,,,,,,,,,
D1,03/09/1994,FC Köln,KFC Uerdingen 05,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,03/09/1994,Hamburger SV,Karlsruher SC,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,03/09/1994,FC Kaiserslautern,VfB Stuttgart,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,03/09/1994,1860 München,FC Schalke 04,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,17/09/1994,Bayern München,Hamburger SV,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,17/09/1994,VFL Bochum,SC Freiburg,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,17/09/1994,Dynamo Dresden,MSV Duisburg,4,2,H,,,,,,,,,,,,,,,,,,,,,
D1,17/09/1994,Karlsruher SC,1860 München,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,17/09/1994,Bayer Leverkusen,Borussia Dortmund,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,17/09/1994,FC Schalke 04,FC Köln,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,17/09/1994,VfB Stuttgart,Eintracht Frankfurt,4,1,H,,,,,,,,,,,,,,,,,,,,,
D1,17/09/1994,KFC Uerdingen 05,FC Kaiserslautern,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,17/09/1994,Werder Bremen,Bor. Mönchengladbach,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,21/09/1994,1860 München,Bayern München,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,23/09/1994,Eintracht Frankfurt,KFC Uerdingen 05,0,3,A,,,,,,,,,,,,,,,,,,,,,
D1,23/09/1994,FC Köln,Karlsruher SC,3,4,A,,,,,,,,,,,,,,,,,,,,,
D1,24/09/1994,Borussia Dortmund,VfB Stuttgart,5,0,H,,,,,,,,,,,,,,,,,,,,,
D1,24/09/1994,MSV Duisburg,Werder Bremen,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,24/09/1994,SC Freiburg,Bayer Leverkusen,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,24/09/1994,Hamburger SV,Dynamo Dresden,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,24/09/1994,FC Kaiserslautern,FC Schalke 04,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,24/09/1994,Bor. Mönchengladbach,VFL Bochum,7,1,H,,,,,,,,,,,,,,,,,,,,,
D1,30/09/1994,VFL Bochum,MSV Duisburg,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,30/09/1994,Dynamo Dresden,1860 München,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,01/10/1994,Bayern München,FC Köln,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,01/10/1994,Karlsruher SC,FC Kaiserslautern,3,3,D,,,,,,,,,,,,,,,,,,,,,
D1,01/10/1994,Bayer Leverkusen,VfB Stuttgart,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,01/10/1994,FC Schalke 04,Eintracht Frankfurt,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,01/10/1994,KFC Uerdingen 05,Borussia Dortmund,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,02/10/1994,SC Freiburg,Bor. Mönchengladbach,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,05/10/1994,FC Kaiserslautern,Bayern München,1,1,D,,,,,,,,,,,,,,,,,,,,,
