Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
E0,20/08/1994,Arsenal,Man City,3,0,H,,,,,,,,,,,,,,,,,,,,,
E0,20/08/1994,Chelsea,Norwich,2,0,H,,,,,,,,,,,,,,,,,,,,,
E0,20/08/1994,Coventry,Wimbledon,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,20/08/1994,Crystal Palace,Liverpool,1,6,A,,,,,,,,,,,,,,,,,,,,,
E0,20/08/1994,Everton,Aston Villa,2,2,D,,,,,,,,,,,,,,,,,,,,,
E0,20/08/1994,Ipswich,Nott'm Forest,0,1,A,,,,,,,,,,,,,,,,,,,,,
E0,20/08/1994,Man United,QPR,2,0,H,,,,,,,,,,,,,,,,,,,,,
E0,20/08/1994,Sheffield Weds,Tottenham,3,4,A,,,,,,,,,,,,,,,,,,,,,
E0,20/08/1994,Southampton,Blackburn,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,20/08/1994,West Ham,Leeds,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,21/08/1994,Leicester,Newcastle,1,3,A,,,,,,,,,,,,,,,,,,,,,
E0,22/08/1994,Nott'm Forest,Man United,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,23/08/1994,Blackburn,Leicester,3,0,H,,,,,,,,,,,,,,,,,,,,,
E0,23/08/1994,Leeds,Arsenal,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,23/08/1994,Wimbledon,Ipswich,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,24/08/1994,Aston Villa,Southampton,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,24/08/1994,Man City,West Ham,3,0,H,,,,,,,,,,,,,,,,,,,,,
E0,24/08/1994,Newcastle,Coventry,4,0,H,,,,,,,,,,,,,,,,,,,,,
E0,24/08/1994,Norwich,Crystal Palace,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,24/08/1994,QPR,Sheffield Weds,3,2,H,,,,,,,,,,,,,,,,,,,,,
E0,24/08/1994,Tottenham,Everton,2,1,H,,,,,,,,,,,,,,,,,,,,,
E0,27/08/1994,Aston Villa,Crystal Palace,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,27/08/1994,Blackburn,Coventry,4,0,H,,,,,,,,,,,,,,,,,,,,,
E0,27/08/1994,Leeds,Chelsea,2,3,A,,,,,,,,,,,,,,,,,,,,,
E0,27/08/1994,Man City,Everton,4,0,H,,,,,,,,,,,,,,,,,,,,,
