Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,01/08/1997,FC Schalke 04,Bayer Leverkusen,2,1,H,0,1,A,,,,,,,,,,,
D1,01/08/1997,VfB Stuttgart,1860 München,1,1,D,1,0,H,,,,,,,,,,,
D1,02/08/1997,Bayern München,FC Kaiserslautern,0,1,A,0,0,D,,,,,,,,,,,
D1,02/08/1997,VFL Bochum,Arminia Bielefeld,1,0,H,0,0,D,,,,,,,,,,,
D1,02/08/1997,FC Köln,MSV Duisburg,3,2,H,1,1,D,,,,,,,,,,,
D1,02/08/1997,FC Hansa Rostock,VFL Wolfsburg,0,1,A,0,0,D,,,,,,,,,,,
D1,02/08/1997,Karlsruher SC,Werder Bremen,3,1,H,1,0,H,,,,,,,,,,,
D1,03/08/1997,Hamburger SV,Bor. Mönchengladbach,2,2,D,0,1,A,,,,,,,,,,,
D1,03/08/1997,Hertha BSC,Borussia Dortmund,1,1,D,1,1,D,,,,,,,,,,,
D1,05/08/1997,Arminia Bielefeld,VfB Stuttgart,2,1,H,0,1,A,,,,,,,,,,,
D1,05/08/1997,MSV Duisburg,FC Schalke 04,1,0,H,0,0,D,,,,,,,,,,,
D1,05/08/1997,Bayer Leverkusen,VFL Bochum,3,2,H,0,1,A,,,,,,,,,,,
D1,05/08/1997,1860 München,Karlsruher SC,2,2,D,1,1,D,,,,,,,,,,,
D1,05/08/1997,Werder Bremen,FC Hansa Rostock,1,1,D,1,0,H,,,,,,,,,,,
D1,06/08/1997,Borussia Dortmund,FC Köln,3,0,H,2,0,H,,,,,,,,,,,
D1,06/08/1997,FC Kaiserslautern,Hertha BSC,1,0,H,0,0,D,,,,,,,,,,,
D1,06/08/1997,Bor. Mönchengladbach,Bayern München,1,1,D,1,0,H,,,,,,,,,,,
D1,06/08/1997,VFL Wolfsburg,Hamburger SV,1,1,D,1,1,D,,,,,,,,,,,
D1,08/08/1997,VFL Bochum,MSV Duisburg,0,0,D,0,0,D,,,,,,,,,,,
D1,08/08/1997,VfB Stuttgart,Bayer Leverkusen,1,0,H,1,0,H,,,,,,,,,,,
D1,09/08/1997,Bayern München,VFL Wolfsburg,5,2,H,3,1,H,,,,,,,,,,,
D1,09/08/1997,FC Köln,FC Kaiserslautern,0,0,D,0,0,D,,,,,,,,,,,
D1,09/08/1997,FC Hansa Rostock,Hamburger SV,2,1,H,2,0,H,,,,,,,,,,,
D1,09/08/1997,Karlsruher SC,Arminia Bielefeld,3,1,H,1,0,H,,,,,,,,,,,
D1,09/08/1997,FC Schalke 04,Borussia Dortmund,1,0,H,0,0,D,,,,,,,,,,,
D1,09/08/1997,Werder Bremen,1860 München,3,3,D,2,1,H,,,,,,,,,,,
D1,10/08/1997,Hertha BSC,Bor. Mönchengladbach,2,2,D,1,0,H,,,,,,,,,,,
D1,22/08/1997,1860 München,FC Hansa Rostock,0,1,A,0,0,D,,,,,,,,,,,
D1,22/08/1997,VFL Wolfsburg,Hertha BSC,2,1,H,1,0,H,,,,,,,,,,,
D1,23/08/1997,Arminia Bielefeld,Werder Bremen,3,0,H,1,0,H,,,,,,,,,,,
D1,23/08/1997,Borussia Dortmund,VFL Bochum,5,2,H,3,1,H,,,,,,,,,,,
D1,23/08/1997,MSV Duisburg,VfB Stuttgart,0,3,A,0,1,A,,,,,,,,,,,
D1,23/08/1997,FC Kaiserslautern,FC Schalke 04,3,0,H,2,0,H,,,,,,,,,,,
D1,23/08/1997,Bayer Leverkusen,Karlsruher SC,6,1,H,2,1,H,,,,,,,,,,,
D1,23/08/1997,Bor. Mönchengladbach,FC Köln,4,1,H,3,0,H,,,,,,,,,,,
D1,24/08/1997,Hamburger SV,Bayern München,0,2,A,0,1,A,,,,,,,,,,,
D1,29/08/1997,VFL Bochum,FC Kaiserslautern,1,3,A,0,1,A,,,,,,,,,,,
D1,29/08/1997,Hertha BSC,Hamburger SV,0,2,A,0,1,A,,,,,,,,,,,
D1,30/08/1997,FC Köln,VFL Wolfsburg,5,3,H,2,1,H,,,,,,,,,,,
D1,30/08/1997,FC Hansa Rostock,Bayern München,1,3,A,0,0,D,,,,,,,,,,,
D1,30/08/1997,FC Schalke 04,Bor. Mönchengladbach,2,0,H,1,0,H,,,,,,,,,,,
D1,30/08/1997,VfB Stuttgart,Borussia Dortmund,0,0,D,0,0,D,,,,,,,,,,,
D1,30/08/1997,Werder Bremen,Bayer Leverkusen,2,1,H,1,0,H,,,,,,,,,,,
D1,31/08/1997,Karlsruher SC,MSV Duisburg,1,2,A,0,0,D,,,,,,,,,,,
D1,01/09/1997,1860 München,Arminia Bielefeld,1,0,H,0,0,D,,,,,,,,,,,
D1,12/09/1997,Arminia Bielefeld,FC Hansa Rostock,0,1,A,0,1,A,,,,,,,,,,,
D1,12/09/1997,Hamburger SV,FC Köln,2,1,H,2,0,H,,,,,,,,,,,
D1,13/09/1997,Bayern München,Hertha BSC,3,0,H,1,0,H,,,,,,,,,,,
D1,13/09/1997,Borussia Dortmund,Karlsruher SC,2,2,D,0,1,A,,,,,,,,,,,
D1,13/09/1997,MSV Duisburg,Werder Bremen,2,1,H,2,1,H,,,,,,,,,,,
D1,13/09/1997,Bayer Leverkusen,1860 München,2,2,D,0,0,D,,,,,,,,,,,
D1,13/09/1997,Bor. Mönchengladbach,VFL Bochum,2,1,H,0,1,A,,,,,,,,,,,
D1,13/09/1997,VFL Wolfsburg,FC Schalke 04,0,0,D,0,0,D,,,,,,,,,,,
D1,14/09/1997,FC Kaiserslautern,VfB Stuttgart,4,3,H,1,2,A,,,,,,,,,,,
D1,19/09/1997,Karlsruher SC,FC Kaiserslautern,2,4,A,0,2,A,,,,,,,,,,,
D1,19/09/1997,1860 München,MSV Duisburg,0,1,A,0,1,A,,,,,,,,,,,
D1,20/09/1997,Arminia Bielefeld,Bayer Leverkusen,2,1,H,1,1,D,,,,,,,,,,,
D1,20/09/1997,VFL Bochum,VFL Wolfsburg,2,1,H,2,0,H,,,,,,,,,,,
D1,20/09/1997,FC Köln,Bayern München,1,3,A,1,2,A,,,,,,,,,,,
D1,20/09/1997,FC Hansa Rostock,Hertha BSC,4,0,H,2,0,H,,,,,,,,,,,
D1,20/09/1997,FC Schalke 04,Hamburger SV,2,2,D,1,2,A,,,,,,,,,,,
D1,20/09/1997,Werder Bremen,Borussia Dortmund,2,1,H,2,1,H,,,,,,,,,,,
D1,21/09/1997,VfB Stuttgart,Bor. Mönchengladbach,3,0,H,2,0,H,,,,,,,,,,,
D1,26/09/1997,Bayern München,FC Schalke 04,1,1,D,0,1,A,,,,,,,,,,,
D1,26/09/1997,MSV Duisburg,Arminia Bielefeld,2,1,H,2,0,H,,,,,,,,,,,
D1,27/09/1997,Borussia Dortmund,1860 München,2,3,A,1,2,A,,,,,,,,,,,
D1,27/09/1997,Hamburger SV,VFL Bochum,2,1,H,0,0,D,,,,,,,,,,,
D1,27/09/1997,FC Kaiserslautern,Werder Bremen,1,3,A,1,0,H,,,,,,,,,,,
D1,27/09/1997,Bayer Leverkusen,FC Hansa Rostock,1,1,D,0,1,A,,,,,,,,,,,
D1,27/09/1997,Bor. Mönchengladbach,Karlsruher SC,1,1,D,0,0,D,,,,,,,,,,,
D1,27/09/1997,VFL Wolfsburg,VfB Stuttgart,1,0,H,0,0,D,,,,,,,,,,,
