Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,14/08/1998,MSV Duisburg,Ein Frankfurt,2,1,H,1,1,D,,,,,,,,,,,
D1,14/08/1998,VfB Stuttgart,Dortmund,2,1,H,2,1,H,,,,,,,,,,,
D1,15/08/1998,Bochum,SC Freiburg,1,2,A,0,0,D,,,,,,,,,,,
D1,15/08/1998,Bayer Leverkusen,Hansa Rostock,3,1,H,1,1,D,,,,,,,,,,,
D1,15/08/1998,M'gladbach,Schalke 04,3,0,H,2,0,H,,,,,,,,,,,
D1,15/08/1998,1860 München,Kaiserslautern,1,2,A,1,1,D,,,,,,,,,,,
D1,15/08/1998,FC Nürnberg,Hamburger SV,1,1,D,0,0,D,,,,,,,,,,,
D1,15/08/1998,VFL Wolfsburg,Bayern München,0,1,A,0,0,D,,,,,,,,,,,
D1,16/08/1998,Hertha BSC,Werder Bremen,1,0,H,0,0,D,,,,,,,,,,,
D1,21/08/1998,Hansa Rostock,VFL Wolfsburg,3,3,D,2,2,D,,,,,,,,,,,
D1,21/08/1998,Werder Bremen,FC Nürnberg,2,3,A,2,2,D,,,,,,,,,,,
D1,22/08/1998,Bayern München,MSV Duisburg,3,1,H,1,1,D,,,,,,,,,,,
D1,22/08/1998,Dortmund,Hertha BSC,3,0,H,1,0,H,,,,,,,,,,,
D1,22/08/1998,Ein Frankfurt,1860 München,2,3,A,1,1,D,,,,,,,,,,,
D1,22/08/1998,SC Freiburg,Bayer Leverkusen,1,1,D,0,0,D,,,,,,,,,,,
D1,22/08/1998,Kaiserslautern,M'gladbach,2,1,H,1,0,H,,,,,,,,,,,
D1,22/08/1998,Schalke 04,VfB Stuttgart,1,0,H,0,0,D,,,,,,,,,,,
D1,23/08/1998,Hamburger SV,Bochum,1,0,H,1,0,H,,,,,,,,,,,
D1,08/09/1998,Bochum,Werder Bremen,2,0,H,1,0,H,,,,,,,,,,,
D1,08/09/1998,MSV Duisburg,1860 München,1,1,D,1,0,H,,,,,,,,,,,
D1,08/09/1998,M'gladbach,Ein Frankfurt,1,1,D,0,0,D,,,,,,,,,,,
D1,08/09/1998,VfB Stuttgart,Kaiserslautern,4,0,H,1,0,H,,,,,,,,,,,
D1,08/09/1998,VFL Wolfsburg,SC Freiburg,1,1,D,0,1,A,,,,,,,,,,,
D1,09/09/1998,Bayern München,Hansa Rostock,6,1,H,0,0,D,,,,,,,,,,,
D1,09/09/1998,Hertha BSC,Schalke 04,2,0,H,0,0,D,,,,,,,,,,,
D1,09/09/1998,Bayer Leverkusen,Hamburger SV,1,2,A,0,0,D,,,,,,,,,,,
D1,09/09/1998,FC Nürnberg,Dortmund,0,0,D,0,0,D,,,,,,,,,,,
D1,11/09/1998,Ein Frankfurt,VfB Stuttgart,1,1,D,0,0,D,,,,,,,,,,,
D1,11/09/1998,1860 München,M'gladbach,3,1,H,2,0,H,,,,,,,,,,,
D1,12/09/1998,SC Freiburg,Bayern München,0,2,A,0,2,A,,,,,,,,,,,
D1,12/09/1998,Hamburger SV,VFL Wolfsburg,1,1,D,1,0,H,,,,,,,,,,,
D1,12/09/1998,Hansa Rostock,MSV Duisburg,3,0,H,0,0,D,,,,,,,,,,,
D1,12/09/1998,Kaiserslautern,Hertha BSC,4,3,H,1,2,A,,,,,,,,,,,
D1,12/09/1998,Schalke 04,FC Nürnberg,2,2,D,2,0,H,,,,,,,,,,,
D1,12/09/1998,Werder Bremen,Bayer Leverkusen,2,2,D,0,1,A,,,,,,,,,,,
D1,13/09/1998,Dortmund,Bochum,0,1,A,0,0,D,,,,,,,,,,,
D1,18/09/1998,Hansa Rostock,SC Freiburg,0,2,A,0,0,D,,,,,,,,,,,
D1,18/09/1998,Hertha BSC,Ein Frankfurt,3,1,H,1,1,D,,,,,,,,,,,
D1,19/09/1998,Bochum,Schalke 04,1,2,A,0,0,D,,,,,,,,,,,
D1,19/09/1998,Bayer Leverkusen,Dortmund,3,1,H,1,0,H,,,,,,,,,,,
D1,19/09/1998,FC Nürnberg,Kaiserslautern,1,1,D,1,0,H,,,,,,,,,,,
D1,19/09/1998,VfB Stuttgart,1860 München,0,1,A,0,0,D,,,,,,,,,,,
D1,19/09/1998,VFL Wolfsburg,Werder Bremen,2,4,A,0,3,A,,,,,,,,,,,
D1,20/09/1998,Bayern München,Hamburger SV,5,3,H,2,1,H,,,,,,,,,,,
D1,20/09/1998,MSV Duisburg,M'gladbach,2,2,D,1,0,H,,,,,,,,,,,
D1,25/09/1998,Hamburger SV,Hansa Rostock,1,0,H,0,0,D,,,,,,,,,,,
D1,25/09/1998,1860 München,Hertha BSC,2,0,H,1,0,H,,,,,,,,,,,
D1,26/09/1998,Dortmund,VFL Wolfsburg,2,1,H,1,1,D,,,,,,,,,,,
D1,26/09/1998,SC Freiburg,MSV Duisburg,2,2,D,1,0,H,,,,,,,,,,,
D1,26/09/1998,Kaiserslautern,Bochum,2,3,A,1,0,H,,,,,,,,,,,
D1,26/09/1998,M'gladbach,VfB Stuttgart,2,3,A,2,2,D,,,,,,,,,,,
D1,26/09/1998,Schalke 04,Bayer Leverkusen,0,1,A,0,0,D,,,,,,,,,,,
D1,26/09/1998,Werder Bremen,Bayern München,0,1,A,0,0,D,,,,,,,,,,,
D1,27/09/1998,Ein Frankfurt,FC Nürnberg,3,2,H,1,1,D,,,,,,,,,,,
D1,02/10/1998,Hertha BSC,M'gladbach,4,1,H,1,1,D,,,,,,,,,,,
D1,02/10/1998,VFL Wolfsburg,Schalke 04,0,0,D,0,0,D,,,,,,,,,,,
D1,03/10/1998,Bochum,Ein Frankfurt,0,0,D,0,0,D,,,,,,,,,,,
D1,03/10/1998,SC Freiburg,Hamburger SV,0,0,D,0,0,D,,,,,,,,,,,
D1,03/10/1998,Hansa Rostock,Werder Bremen,2,1,H,1,1,D,,,,,,,,,,,
D1,03/10/1998,Bayer Leverkusen,Kaiserslautern,2,2,D,1,2,A,,,,,,,,,,,
D1,03/10/1998,FC Nürnberg,1860 München,1,5,A,0,2,A,,,,,,,,,,,
D1,04/10/1998,Bayern München,Dortmund,2,2,D,2,1,H,,,,,,,,,,,
D1,04/10/1998,MSV Duisburg,VfB Stuttgart,2,0,H,1,0,H,,,,,,,,,,,
D1,16/10/1998,Kaiserslautern,VFL Wolfsburg,1,1,D,0,0,D,,,,,,,,,,,
D1,16/10/1998,1860 München,Bochum,2,1,H,2,1,H,,,,,,,,,,,
D1,17/10/1998,Ein Frankfurt,Bayer Leverkusen,2,3,A,2,0,H,,,,,,,,,,,
D1,17/10/1998,Hamburger SV,MSV Duisburg,4,1,H,2,0,H,,,,,,,,,,,
D1,17/10/1998,M'gladbach,FC Nürnberg,0,2,A,0,1,A,,,,,,,,,,,
D1,17/10/1998,Schalke 04,Bayern München,1,3,A,1,2,A,,,,,,,,,,,
D1,17/10/1998,VfB Stuttgart,Hertha BSC,0,0,D,0,0,D,,,,,,,,,,,
D1,17/10/1998,Werder Bremen,SC Freiburg,2,3,A,1,3,A,,,,,,,,,,,
D1,18/10/1998,Dortmund,Hansa Rostock,2,0,H,1,0,H,,,,,,,,,,,
D1,23/10/1998,SC Freiburg,Dortmund,2,2,D,1,1,D,,,,,,,,,,,
D1,23/10/1998,Hamburger SV,Werder Bremen,1,1,D,0,0,D,,,,,,,,,,,
D1,24/10/1998,Bayern München,Kaiserslautern,4,0,H,2,0,H,,,,,,,,,,,
D1,24/10/1998,Bochum,M'gladbach,2,1,H,1,1,D,,,,,,,,,,,
D1,24/10/1998,Hansa Rostock,Schalke 04,2,2,D,0,0,D,,,,,,,,,,,
D1,24/10/1998,FC Nürnberg,VfB Stuttgart,2,2,D,0,2,A,,,,,,,,,,,
D1,24/10/1998,VFL Wolfsburg,Ein Frankfurt,2,0,H,1,0,H,,,,,,,,,,,
D1,25/10/1998,MSV Duisburg,Hertha BSC,0,0,D,0,0,D,,,,,,,,,,,
D1,25/10/1998,Bayer Leverkusen,1860 München,1,1,D,1,0,H,,,,,,,,,,,
D1,30/10/1998,Kaiserslautern,Hansa Rostock,3,2,H,0,2,A,,,,,,,,,,,
D1,30/10/1998,M'gladbach,Bayer Leverkusen,2,8,A,0,4,A,,,,,,,,,,,
D1,31/10/1998,Ein Frankfurt,Bayern München,1,0,H,1,0,H,,,,,,,,,,,
D1,31/10/1998,1860 München,VFL Wolfsburg,2,3,A,0,1,A,,,,,,,,,,,
D1,31/10/1998,VfB Stuttgart,Bochum,4,2,H,2,1,H,,,,,,,,,,,
D1,31/10/1998,Werder Bremen,MSV Duisburg,1,1,D,0,1,A,,,,,,,,,,,
D1,01/11/1998,Hertha BSC,FC Nürnberg,3,0,H,3,0,H,,,,,,,,,,,
D1,03/11/1998,Schalke 04,SC Freiburg,1,1,D,1,0,H,,,,,,,,,,,
D1,06/11/1998,MSV Duisburg,FC Nürnberg,1,1,D,0,1,A,,,,,,,,,,,
D1,06/11/1998,Werder Bremen,Dortmund,1,1,D,0,1,A,,,,,,,,,,,
D1,07/11/1998,Bayern München,1860 München,3,1,H,0,0,D,,,,,,,,,,,
D1,07/11/1998,Bochum,Hertha BSC,2,0,H,0,0,D,,,,,,,,,,,
D1,07/11/1998,SC Freiburg,Kaiserslautern,0,1,A,0,1,A,,,,,,,,,,,
D1,07/11/1998,Hamburger SV,Schalke 04,2,2,D,1,0,H,,,,,,,,,,,
D1,07/11/1998,Hansa Rostock,Ein Frankfurt,2,2,D,1,1,D,,,,,,,,,,,
D1,07/11/1998,VFL Wolfsburg,M'gladbach,7,1,H,4,1,H,,,,,,,,,,,
D1,08/11/1998,Bayer Leverkusen,VfB Stuttgart,0,0,D,0,0,D,,,,,,,,,,,
D1,10/11/1998,Kaiserslautern,Hamburger SV,1,0,H,0,0,D,,,,,,,,,,,
D1,10/11/1998,1860 München,Hansa Rostock,2,1,H,1,0,H,,,,,,,,,,,
D1,11/11/1998,Dortmund,MSV Duisburg,2,0,H,2,0,H,,,,,,,,,,,
D1,11/11/1998,Ein Frankfurt,SC Freiburg,3,1,H,2,1,H,,,,,,,,,,,
D1,11/11/1998,Hertha BSC,Bayer Leverkusen,0,1,A,0,0,D,,,,,,,,,,,
D1,11/11/1998,FC Nürnberg,Bochum,2,2,D,1,1,D,,,,,,,,,,,
D1,11/11/1998,VfB Stuttgart,VFL Wolfsburg,1,2,A,1,1,D,,,,,,,,,,,
D1,13/11/1998,Hansa Rostock,M'gladbach,1,1,D,0,1,A,,,,,,,,,,,
D1,13/11/1998,Werder Bremen,Kaiserslautern,0,1,A,0,0,D,,,,,,,,,,,
D1,14/11/1998,Bayern München,VfB Stuttgart,2,0,H,0,0,D,,,,,,,,,,,
D1,14/11/1998,Dortmund,Schalke 04,3,0,H,2,0,H,,,,,,,,,,,
D1,14/11/1998,MSV Duisburg,Bochum,2,0,H,1,0,H,,,,,,,,,,,
D1,14/11/1998,Hamburger SV,Ein Frankfurt,0,1,A,0,1,A,,,,,,,,,,,
D1,14/11/1998,Bayer Leverkusen,FC Nürnberg,3,0,H,3,0,H,,,,,,,,,,,
D1,14/11/1998,VFL Wolfsburg,Hertha BSC,2,1,H,2,1,H,,,,,,,,,,,
D1,15/11/1998,SC Freiburg,1860 München,1,2,A,1,0,H,,,,,,,,,,,
D1,20/11/1998,Ein Frankfurt,Werder Bremen,0,2,A,0,0,D,,,,,,,,,,,
D1,20/11/1998,Schalke 04,MSV Duisburg,2,0,H,1,0,H,,,,,,,,,,,
D1,21/11/1998,Bochum,Bayer Leverkusen,1,5,A,0,2,A,,,,,,,,,,,
D1,21/11/1998,Hertha BSC,Bayern München,1,0,H,0,0,D,,,,,,,,,,,
D1,21/11/1998,Kaiserslautern,Dortmund,1,0,H,0,0,D,,,,,,,,,,,
D1,21/11/1998,1860 München,Hamburger SV,0,0,D,0,0,D,,,,,,,,,,,
D1,21/11/1998,FC Nürnberg,VFL Wolfsburg,1,1,D,0,0,D,,,,,,,,,,,
D1,21/11/1998,VfB Stuttgart,Hansa Rostock,1,1,D,1,0,H,,,,,,,,,,,
D1,22/11/1998,M'gladbach,SC Freiburg,3,1,H,2,1,H,,,,,,,,,,,
D1,24/11/1998,Dortmund,Hamburger SV,2,1,H,1,0,H,,,,,,,,,,,
D1,24/11/1998,Schalke 04,Werder Bremen,1,2,A,0,0,D,,,,,,,,,,,
D1,27/11/1998,Dortmund,Ein Frankfurt,3,1,H,1,0,H,,,,,,,,,,,
D1,27/11/1998,Hansa Rostock,Hertha BSC,1,2,A,0,0,D,,,,,,,,,,,
D1,28/11/1998,Bayern München,FC Nürnberg,2,0,H,1,0,H,,,,,,,,,,,
D1,28/11/1998,SC Freiburg,VfB Stuttgart,2,0,H,2,0,H,,,,,,,,,,,
D1,28/11/1998,Hamburger SV,M'gladbach,3,0,H,2,0,H,,,,,,,,,,,
D1,28/11/1998,Bayer Leverkusen,MSV Duisburg,2,0,H,1,0,H,,,,,,,,,,,
D1,28/11/1998,Werder Bremen,1860 München,4,1,H,1,1,D,,,,,,,,,,,
D1,28/11/1998,VFL Wolfsburg,Bochum,4,1,H,2,1,H,,,,,,,,,,,
D1,29/11/1998,Kaiserslautern,Schalke 04,4,1,H,1,1,D,,,,,,,,,,,
D1,04/12/1998,Bochum,Bayern München,2,2,D,1,1,D,,,,,,,,,,,
D1,04/12/1998,FC Nürnberg,Hansa Rostock,2,2,D,2,1,H,,,,,,,,,,,
D1,05/12/1998,Ein Frankfurt,Schalke 04,1,2,A,0,2,A,,,,,,,,,,,
D1,05/12/1998,Bayer Leverkusen,VFL Wolfsburg,3,0,H,2,0,H,,,,,,,,,,,
D1,05/12/1998,VfB Stuttgart,Hamburger SV,3,1,H,1,1,D,,,,,,,,,,,
D1,06/12/1998,1860 München,Dortmund,2,0,H,1,0,H,,,,,,,,,,,
D1,08/12/1998,M'gladbach,Werder Bremen,0,1,A,0,1,A,,,,,,,,,,,
D1,11/12/1998,Dortmund,M'gladbach,1,1,D,1,1,D,,,,,,,,,,,
D1,11/12/1998,Hamburger SV,Hertha BSC,0,4,A,0,1,A,,,,,,,,,,,
D1,12/12/1998,SC Freiburg,FC Nürnberg,1,0,H,1,0,H,,,,,,,,,,,
D1,12/12/1998,Hansa Rostock,Bochum,3,0,H,1,0,H,,,,,,,,,,,
D1,12/12/1998,Kaiserslautern,Ein Frankfurt,2,1,H,1,0,H,,,,,,,,,,,
D1,12/12/1998,Schalke 04,1860 München,2,2,D,0,1,A,,,,,,,,,,,
D1,12/12/1998,Werder Bremen,VfB Stuttgart,2,2,D,0,1,A,,,,,,,,,,,
D1,12/12/1998,VFL Wolfsburg,MSV Duisburg,4,2,H,1,0,H,,,,,,,,,,,
D1,13/12/1998,Bayern München,Bayer Leverkusen,2,0,H,2,0,H,,,,,,,,,,,
D1,15/12/1998,Hertha BSC,SC Freiburg,1,0,H,1,0,H,,,,,,,,,,,
