Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
E1,07/08/1999,Birmingham,Fulham,2,2,D,0,1,A,,,,,,,,,,,
E1,07/08/1999,Blackburn,Port Vale,0,0,D,0,0,D,,,,,,,,,,,
E1,07/08/1999,Charlton,Barnsley,3,1,H,2,0,H,,,,,,,,,,,
E1,07/08/1999,Crystal Palace,Crewe,1,1,D,0,0,D,,,,,,,,,,,
E1,07/08/1999,Grimsby,Stockport,0,1,A,0,0,D,,,,,,,,,,,
E1,07/08/1999,Ipswich,Nott'm Forest,3,1,H,2,0,H,,,,,,,,,,,
E1,07/08/1999,Portsmouth,Sheffield United,2,0,H,1,0,H,,,,,,,,,,,
E1,07/08/1999,QPR,Huddersfield,3,1,H,2,0,H,,,,,,,,,,,
E1,07/08/1999,Tranmere,Bolton,0,0,D,0,0,D,,,,,,,,,,,
E1,07/08/1999,Walsall,Swindon,0,0,D,0,0,D,,,,,,,,,,,
E1,07/08/1999,West Brom,Norwich,1,1,D,0,0,D,,,,,,,,,,,
E1,08/08/1999,Man City,Wolves,0,1,A,0,1,A,,,,,,,,,,,
E1,13/08/1999,Huddersfield,Blackburn,3,2,H,1,0,H,,,,,,,,,,,
E1,14/08/1999,Barnsley,Crystal Palace,2,3,A,1,1,D,,,,,,,,,,,
E1,14/08/1999,Bolton,QPR,2,1,H,1,1,D,,,,,,,,,,,
E1,14/08/1999,Fulham,Man City,0,0,D,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,14/08/1999,Norwich,Birmingham,0,1,A,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,14/08/1999,Nott'm Forest,Grimsby,2,1,H,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,14/08/1999,Port Vale,West Brom,1,2,A,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,14/08/1999,Sheffield United,Walsall,1,1,D,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,14/08/1999,Stockport,Tranmere,2,1,H,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,14/08/1999,Wolves,Portsmouth,1,1,D,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,15/08/1999,Swindon,Ipswich,1,4,A,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,20/08/1999,West Brom,Nott'm Forest,1,1,D,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,21/08/1999,Birmingham,Port Vale,4,2,H,3,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,21/08/1999,Blackburn,Barnsley,1,2,A,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,21/08/1999,Charlton,Norwich,1,0,H,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,21/08/1999,Crystal Palace,Swindon,1,2,A,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,21/08/1999,Grimsby,Fulham,1,1,D,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,21/08/1999,Ipswich,Bolton,1,0,H,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,21/08/1999,Man City,Sheffield United,6,0,H,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,21/08/1999,Portsmouth,Stockport,2,0,H,0,0,D,,,,,,,,,,,
E1,21/08/1999,QPR,Wolves,1,1,D,0,1,A,,,,,,,,,,,
E1,21/08/1999,Tranmere,Huddersfield,1,0,H,1,0,H,,,,,,,,,,,
E1,21/08/1999,Walsall,Crewe,1,4,A,1,1,D,,,,,,,,,,,
E1,27/08/1999,Crewe,Grimsby,1,1,D,0,0,D,,,,,,,,,,,
E1,27/08/1999,Stockport,Birmingham,2,0,H,0,0,D,,,,,,,,,,,
E1,28/08/1999,Barnsley,Portsmouth,6,0,H,1,0,H,,,,,,,,,,,
E1,28/08/1999,Bolton,Man City,0,1,A,0,1,A,,,,,,,,,,,
E1,28/08/1999,Fulham,Charlton,2,1,H,2,0,H,,,,,,,,,,,
E1,28/08/1999,Huddersfield,Crystal Palace,7,1,H,3,0,H,,,,,,,,,,,
E1,28/08/1999,Norwich,Blackburn,0,2,A,0,1,A,,,,,,,,,,,
E1,28/08/1999,Nott'm Forest,QPR,1,1,D,1,0,H,,,,,,,,,,,
E1,28/08/1999,Port Vale,Tranmere,1,0,H,0,0,D,,,,,,,,,,,
E1,28/08/1999,Sheffield United,Ipswich,2,2,D,0,2,A,,,,,,,,,,,
E1,28/08/1999,Swindon,West Brom,1,2,A,1,0,H,,,,,,,,,,,
E1,28/08/1999,Wolves,Walsall,1,2,A,1,2,A,,,,,,,,,,,
E1,30/08/1999,Birmingham,Crewe,5,1,H,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,30/08/1999,Grimsby,Swindon,1,0,H,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
