Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
D1,11/08/2000,Borussia Dortmund,FC Hansa Rostock,1,0,H,0,0,D,61000,Jörg Kessler ,17,5,7,2,0,0,7,3,25,19,4,8,1,5,0,0,10,50,1.5,3.4,5,1.45,3.5,5,,,,1.5,3.5,6,1.44,3.6,6.5
D1,12/08/2000,Bayern München,Hertha BSC,4,1,H,1,0,H,57000,Markus Merk ,14,11,6,5,1,0,4,9,13,12,3,3,1,0,0,0,10,0,1.3,4.5,6,1.45,3.5,5,,,,1.4,3.75,7,1.44,3.6,6.5
D1,12/08/2000,SC Freiburg,VfB Stuttgart,4,0,H,2,0,H,22500,Helmut Krug ,15,18,7,5,0,0,4,7,22,17,0,0,1,1,0,0,10,10,2.4,3.1,2.5,2.3,2.9,2.5,,,,2.6,3.25,2.38,2.4,3.2,2.5
D1,12/08/2000,Hamburger SV,1860 München,2,2,D,2,2,D,35000,Herbert Fandel ,18,9,5,7,1,0,5,3,0,0,0,0,2,2,0,1,20,45,1.8,3.3,3.8,1.8,3,3.5,,,,1.75,3.3,4,1.66,3.3,4.5
D1,12/08/2000,FC Kaiserslautern,VFL Bochum,0,1,A,0,0,D,38000,Helmut Fleischer ,11,5,2,2,0,0,5,5,9,8,0,0,1,0,0,0,10,0,1.5,3.4,4.6,1.45,3.5,5,,,,1.44,3.8,6,1.5,3.6,5.5
D1,12/08/2000,Bayer Leverkusen,VFL Wolfsburg,2,0,H,2,0,H,22500,Edgar Steinborn ,18,5,5,5,0,0,6,4,25,22,0,0,0,2,0,0,0,20,1.4,4,5.5,1.55,3.3,4.5,,,,1.44,3.8,6,1.44,3.6,6.5
D1,12/08/2000,Werder Bremen,Energie Cottbus,3,1,H,2,1,H,30000,Wolfgang Stark ,12,3,2,3,0,0,3,2,9,6,0,0,3,3,0,0,30,30,1.5,3.6,6,1.45,3.5,5,,,,1.4,3.75,7,1.5,3.4,6
D1,13/08/2000,Eintracht Frankfurt,SpVgg Unterhaching,3,0,H,1,0,H,35000,Hartmut Strampe ,7,15,5,3,1,2,7,6,15,19,2,2,1,1,0,0,10,10,1.75,3,4.5,1.65,3.1,4,1.8,3.25,3.75,1.8,3.2,3.9,1.72,3.2,4.2
D1,13/08/2000,FC Schalke 04,FC Köln,2,1,H,2,0,H,62109,Hermann Albrecht ,16,10,6,3,1,0,6,5,15,26,0,0,2,3,0,0,20,30,1.95,3,3.3,1.85,2.9,3.4,1.8,3.25,3.75,1.85,3.25,3.6,1.75,3.25,4
D1,18/08/2000,Energie Cottbus,Borussia Dortmund,1,4,A,0,0,D,20500,Franz-Xaver Wack ,11,10,3,5,0,0,8,4,25,20,1,1,2,2,0,0,20,20,2.9,3,2.1,3,2.9,2,,,,3.1,3.2,2.1,3.2,3,2.1
