Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,,,,,,,,,
D1,06/08/2004,Werder Bremen,FC Schalke 04,1,0,H,0,0,D,9,8,22,19,5,2,0,1,0,0,1.9,3.25,3.5,2,3.25,3.4,2.1,3.3,3.35,2.2,3,2.9,1.909,3.25,3.4,2,3.2,3.3,2,3.3,3.1,1.65,2.05,1.7,2.1,1.5,2.4,0,1.96,1.88,-0.25,1.95,1.95,-0.25,,,,,,,,,
D1,07/08/2004,Borussia Dortmund,VFL Wolfsburg,1,2,A,1,1,D,24,9,9,20,7,3,0,3,0,0,1.57,3.4,5.5,1.55,3.7,5.4,1.6,3.65,5.5,1.65,3.3,4.4,1.571,3.5,5,1.62,3.4,5,1.61,3.5,4.5,1.65,2.05,1.75,2.05,2.15,1.65,-1,1.8,2.04,-0.75,1.85,2.05,-0.75,,,,,,,,,
D1,07/08/2004,SC Freiburg,FC Hansa Rostock,0,0,D,0,0,D,13,7,16,24,5,5,1,2,0,0,2.1,3.25,3,2,3.25,3.4,2.05,3.25,3.5,2.1,3,3.1,2.1,3.2,3,2.1,3.2,3.1,2,3.3,3.1,1.65,2.05,1.65,2.15,1.5,2.4,0,1.86,1.98,-0.25,1.9,2,-0.25,,,,,,,,,
D1,07/08/2004,Hamburger SV,Bayern München,0,2,A,0,1,A,13,12,18,24,5,3,3,1,0,0,3.25,3.25,2,3.75,3.4,1.85,3.65,3.25,2,3.6,3.2,1.9,3.75,3.2,1.833,3.3,3.2,2,3.1,3.3,2,1.65,2.05,1.8,2,2.05,1.7,0.25,1.94,1.9,0.5,1.9,2,0.5,,,,,,,,,
D1,07/08/2004,Hertha BSC,VFL Bochum,2,2,D,2,0,H,21,12,18,14,2,1,1,2,0,0,1.83,3.25,3.75,1.7,3.5,4.4,1.85,3.3,4.25,1.75,3.2,4,1.833,3.2,3.75,1.8,3.25,4,1.8,3.3,3.75,1.71,2,1.6,2.2,1.55,2.3,-0.25,1.88,1.96,-0.5,1.875,2.025,-0.5,,,,,,,,,
D1,07/08/2004,FC Kaiserslautern,FC Nürnberg,1,3,A,0,1,A,14,24,24,21,10,8,3,2,0,0,1.72,3.25,4.33,1.75,3.4,4.2,1.9,3.3,4,1.85,3.1,3.6,1.8,3.25,3.75,1.85,3.25,3.75,1.8,3.3,3.75,1.71,2,1.75,2.05,1.65,2.15,-0.25,1.92,1.92,-0.5,1.9,2,-0.5,,,,,,,,,
D1,07/08/2004,Bayer Leverkusen,Hannover 96,2,1,H,0,1,A,11,14,21,20,2,2,2,3,0,0,1.5,3.5,6,1.45,4,6.2,1.6,3.5,6,1.55,3.5,4.8,1.533,3.4,5.5,1.5,3.6,6,1.44,3.75,6,1.6,2.15,1.55,2.25,2.3,1.55,-1.25,2.02,1.82,-1,2,1.9,-1,,,,,,,,,
D1,08/08/2004,Arminia Bielefeld,Bor. Mönchengladbach,0,0,D,0,0,D,14,6,15,17,8,3,0,2,0,1,2.25,3.25,2.75,2.4,3.3,2.6,2.35,3.2,2.95,2.3,3,2.7,2.25,3.2,2.75,2.38,3.1,2.7,2.2,3.25,2.75,1.71,2,1.65,2.15,1.68,2.1,0,2.02,1.82,-0.25,2.025,1.875,-0.25,,,,,,,,,
D1,08/08/2004,VfB Stuttgart,FSV Mainz 05,4,2,H,2,0,H,11,7,17,13,3,4,1,2,0,0,1.4,3.75,7.5,1.4,4.2,6.7,1.41,4.25,7.25,1.5,3.7,5,1.4,3.75,7,1.4,3.75,7.5,1.44,3.75,6,1.65,2.05,1.7,2.1,1.7,2.05,-1,1.96,1.88,-1.25,2.05,1.85,-1.25,,,,,,,,,
D1,14/08/2004,Bayern München,Hertha BSC,1,1,D,0,1,A,19,9,16,27,6,2,4,5,1,0,1.4,4,9,1.3,4.7,8.2,1.43,4,7.75,1.4,3.9,6,1.36,3.75,8,1.4,4,7.5,1.36,4,7,1.55,2.25,1.45,2.4,1.7,2.05,-1,1.76,2.08,-1.25,1.75,2.15,-1.25,,,,,,,,,
D1,14/08/2004,FC Hansa Rostock,Werder Bremen,0,4,A,0,0,D,11,14,18,23,6,4,1,2,0,0,2.8,3.25,2.2,3.4,3.25,2,3.2,3.3,2.15,2.9,3,2.2,2.75,3.25,2.2,3,3.2,2.2,2.9,3.2,2.15,1.6,2.15,1.75,2.05,1.95,1.9,0.25,1.94,1.9,0.25,1.875,2.025,0.25,,,,,,,,,
D1,14/08/2004,FSV Mainz 05,Hamburger SV,2,1,H,0,1,A,14,8,16,30,1,9,1,3,0,0,2.6,3.2,2.4,2.5,3.3,2.5,2.65,3.3,2.5,2.5,3,2.5,2.6,3.2,2.38,2.6,3.2,2.5,2.5,3.25,2.4,1.55,2.25,1.75,2.05,2.2,1.6,-0.25,1.98,1.86,0,2.025,1.875,0,,,,,,,,,
D1,14/08/2004,Bor. Mönchengladbach,Borussia Dortmund,2,3,A,2,3,A,18,12,17,24,5,4,4,1,0,0,2.5,3.2,2.5,2.5,3.3,2.5,2.45,3.3,2.7,2.3,3,2.7,2.4,3.25,2.5,2.6,3.2,2.5,2.4,3.1,2.6,1.79,1.9,1.9,1.9,2.3,1.55,-0.25,1.96,1.88,0,1.95,1.95,0,,,,,,,,,
D1,14/08/2004,FC Nürnberg,VfB Stuttgart,1,1,D,1,1,D,16,5,19,16,2,3,2,4,0,1,2.8,3.25,2.2,3.2,3.3,2.05,3.25,3.15,2.2,2.9,3,2.2,2.8,3.2,2.2,2.88,3.2,2.25,2.62,3.2,2.3,1.79,1.9,1.85,1.95,1.95,1.9,0.25,2,1.84,0.25,1.95,1.95,0.25,,,,,,,,,
D1,14/08/2004,FC Schalke 04,FC Kaiserslautern,2,1,H,1,1,D,21,5,10,16,11,2,1,2,0,1,1.53,3.5,5.5,1.5,3.7,6,1.51,3.8,6.45,1.5,3.7,5,1.5,3.4,6,1.53,3.6,6,1.5,3.4,6,1.65,2.05,1.7,2.1,2.2,1.6,-1.25,1.8,2.04,-1,1.9,2,-1,,,,,,,,,
D1,15/08/2004,VFL Bochum,Bayer Leverkusen,2,2,D,1,0,H,13,18,25,27,7,5,3,1,0,0,2.37,3.2,2.62,2.5,3.3,2.5,2.45,3.2,2.8,2.2,3,2.9,2.38,3.2,2.6,2.4,3.2,2.7,2.3,3.1,2.75,1.6,2.15,1.8,2,2.2,1.6,-0.25,1.9,1.94,0,1.85,2.05,0,,,,,,,,,
D1,15/08/2004,VFL Wolfsburg,SC Freiburg,0,1,A,0,0,D,14,7,25,13,10,2,1,1,0,0,1.61,3.4,5,1.65,3.6,4.7,1.65,3.5,5.3,1.65,3.3,4.4,1.62,3.5,4.5,1.62,3.4,5.5,1.61,3.3,5,1.55,2.25,1.6,2.2,2.1,1.65,-1,1.96,1.88,-1,1.775,2.125,-0.75,,,,,,,,,
D1,28/08/2004,Arminia Bielefeld,VFL Bochum,1,2,A,0,1,A,21,8,18,22,13,2,1,4,0,1,2.3,3.2,2.7,2.4,3.3,2.6,2.45,3.35,2.7,2.4,3,2.6,2.4,3.25,2.5,2.4,3.2,2.7,2.4,3.1,2.6,1.85,1.85,1.8,2,1.85,2,0,1.86,1.98,0,1.9,2,0,,,,,,,,,
D1,28/08/2004,SC Freiburg,Bor. Mönchengladbach,1,1,D,1,0,H,10,13,15,11,3,3,0,3,0,0,1.9,3.25,3.5,1.95,3.3,3.5,1.95,3.35,3.7,2.1,3,3.1,1.91,3.25,3.4,2,3.2,3.5,2,3.2,3.2,1.71,2,1.65,2.2,1.65,2.1,-0.25,2.14,1.7,-0.5,1.825,2.075,-0.25,,,,,,,,,
